id,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
17695062,14,7,7,7,0,4,20,16,18,1,17,15,29,10,1
1770bd68,16,6,11,4,1,9,20,11,10,0,10,5,21,11,0
17734ea0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178ae8f8,39,18,12,18,9,13,55,42,19,2,17,6,45,6,0
17d45fb2,3,2,1,1,1,1,5,4,2,0,2,2,5,4,0
18b896d6,48,28,29,15,4,36,48,12,20,11,9,28,76,91,1
1900032e,15,10,12,3,0,8,15,7,10,8,2,7,22,36,0
1961b2aa,16,4,6,6,4,8,32,24,8,2,6,1,17,7,1
197640fd,67,31,38,22,7,27,43,16,28,9,19,29,96,54,1
19a12bed,53,34,31,16,6,27,43,16,20,4,16,69,122,67,0
19a9cb70,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19e50035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19f4d211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a4ef233,26,13,19,7,0,19,29,10,30,22,8,21,47,93,4
1b4f1169,22,18,11,9,2,12,14,2,12,7,5,13,35,12,4
1b84dbe1,46,29,34,7,5,30,47,17,31,13,18,37,83,70,0
1bf33a9a,10,7,6,3,1,3,17,14,12,0,12,5,15,10,0
1bf811d4,24,15,17,6,1,19,27,8,21,11,10,22,46,48,0
1c0eea98,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0
1c7012b8,80,42,45,32,3,38,71,33,45,21,24,63,143,52,1
1cb49278,14,8,9,4,1,4,7,3,14,6,8,29,43,57,1
1d5cab82,22,12,10,10,2,5,27,22,20,2,18,12,34,19,0
1daec722,93,62,43,32,18,44,71,27,42,14,28,30,123,74,0
1ecb65be,4,2,2,0,2,1,5,4,3,0,3,5,9,2,0
1ef37668,28,15,15,11,2,17,28,11,18,7,11,10,38,38,0
1fb1c435,20,9,7,6,7,4,32,28,12,0,12,11,31,27,1
21166ff4,47,30,32,12,3,26,42,16,44,27,17,32,79,115,1
21512407,17,10,8,8,1,10,16,6,10,3,7,10,27,10,0
21945a9e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21a66f6a,15,5,2,10,3,7,18,11,26,8,18,3,18,39,0
235a62f8,1,0,1,0,0,0,1,1,2,2,0,2,3,3,0
2389cdc2,89,50,52,34,3,47,78,31,54,16,38,49,138,100,2
240c8ab6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24f59bb2,61,29,30,26,5,31,59,28,22,6,16,24,85,37,0
24fae784,20,13,10,7,3,10,15,5,25,5,20,22,42,62,1
2500cef9,12,6,5,4,3,1,16,15,12,5,7,8,20,6,0
254147d4,9,3,3,5,1,3,11,8,6,1,5,2,11,6,1
2628fd2b,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0
2691c772,11,2,2,7,2,2,9,7,8,1,7,2,13,5,0
26d3b5be,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
26f6dca8,28,15,10,11,7,10,35,25,16,0,16,19,47,10,0
27c01749,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0
282679b4,47,25,18,23,6,25,66,41,22,4,18,11,58,20,0
282f75f3,10,8,5,5,0,5,11,6,32,28,4,27,37,113,3
28300a16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2886c9b5,14,4,9,4,1,6,15,9,10,0,10,11,25,12,0
28d596a0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
291e3ec3,9,6,2,5,2,2,3,1,4,2,2,3,12,7,0
2928dca2,31,14,23,7,1,16,28,12,46,40,6,28,59,140,0
2944f86f,25,17,13,9,3,8,27,19,16,2,14,14,39,13,0
29733c72,6,4,2,3,1,3,5,2,1,0,1,1,7,1,0
2acd49b9,53,27,27,20,6,28,42,14,42,13,29,30,83,64,0
2b16cb1a,13,8,6,4,3,3,17,14,13,2,11,11,24,3,0
2b622f01,25,10,7,14,4,8,35,27,19,0,19,18,43,19,0
2b91cf8e,13,10,4,7,2,9,14,5,14,11,3,13,26,43,1
2baec6ce,5,3,3,2,0,2,5,3,5,4,1,5,10,12,1
2bc28bb9,0,0,0,0,0,0,2,2,0,0,0,3,3,0,0
2bd83368,54,32,20,30,4,21,59,38,49,3,46,22,76,17,0
2c44a35d,51,35,20,22,9,17,52,35,36,2,34,15,66,13,0
2ce2508a,18,9,9,6,3,10,16,6,6,1,5,11,29,15,0
2d5f03bf,6,3,5,1,0,3,4,1,0,0,0,1,7,4,0
2d61d13a,10,5,4,6,0,5,9,4,19,11,8,16,26,26,0
2d760d7b,1,1,1,0,0,0,0,0,0,0,0,0,1,5,0
2e4f5f03,36,21,16,15,5,20,35,15,24,3,21,23,59,61,0
2f6ec02a,18,7,8,7,3,9,32,23,10,1,9,7,25,4,0
2f7acede,15,10,4,9,2,8,21,13,14,3,11,16,31,10,2
2f8d27bc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2f90f6b8,28,16,12,11,5,12,29,17,19,5,14,17,45,20,0
2f965a72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2fba6108,26,20,12,12,2,15,29,14,17,1,16,9,35,7,0
2ff964a0,33,17,10,13,10,10,34,24,26,4,22,9,42,14,0
30d4a2e5,25,15,15,7,3,12,21,9,15,2,13,16,41,37,0
30db8574,8,7,6,2,0,6,7,1,9,6,3,6,14,25,0
31822f8c,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0
31c69ef1,26,19,11,12,3,8,15,7,19,13,6,23,49,66,0
32f60ed8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3312f911,46,25,16,23,7,24,50,26,39,9,30,18,64,32,0
3353737a,40,24,15,18,7,22,43,21,20,8,12,31,71,45,1
33887998,1,0,1,0,0,1,3,2,0,0,0,0,1,13,4
3423f250,51,29,25,14,12,22,71,49,43,0,43,29,80,28,1
3515d404,41,24,12,24,5,19,70,51,43,15,28,40,81,45,1
35be8087,2,1,1,1,0,1,4,3,0,0,0,0,2,2,0
35e413f1,44,23,30,8,6,28,45,17,42,24,18,42,86,102,0
3631ad41,31,18,23,5,3,11,26,15,11,4,7,12,43,32,0
36c2ca73,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3727dd3c,30,17,12,18,0,14,34,20,22,7,15,22,52,20,2
38c7feef,15,11,2,8,5,3,14,11,12,2,10,6,21,5,0
38ceb24a,34,20,12,9,13,4,31,27,33,4,29,15,49,10,0
3935e52e,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0
3a233281,17,11,6,8,3,6,13,7,10,1,9,1,18,2,0
3a24769f,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0
3a949a25,1,1,1,0,0,0,1,1,0,0,0,0,1,8,2
3ae14ed1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3b8674e6,36,18,14,14,8,16,32,16,24,9,15,20,56,35,0
3bb7b8b4,2,1,2,0,0,0,2,2,0,0,0,0,2,12,0
3c33f9d9,4,3,3,1,0,2,7,5,3,1,2,2,6,5,1
3d50bcdb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3dcef539,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3e9e06cb,29,17,20,8,1,14,25,11,59,52,7,29,58,139,0
3ea50f67,31,16,9,11,11,7,23,16,24,1,23,5,36,7,0
3eb22ec9,57,29,19,19,19,31,67,36,24,2,22,20,77,19,0
3f70db80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3faa1780,9,4,5,3,1,4,15,11,11,1,10,9,18,7,0
3fe6bd8c,7,3,3,4,0,5,8,3,5,0,5,3,10,5,0
407db0d5,1,0,0,1,0,0,3,3,0,0,0,1,2,2,0
4115ce4e,32,15,18,13,1,19,33,14,48,27,21,72,104,141,0
420d7c7d,74,42,46,23,5,51,97,46,46,25,21,28,102,52,1
42130443,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
4315f30d,14,7,10,2,2,7,12,5,6,3,3,11,25,20,0
43458538,19,15,7,6,6,4,17,13,15,4,11,8,27,31,0
43a166b4,0,0,0,0,0,0,2,2,1,0,1,1,1,2,0
4468ec10,30,19,13,10,7,10,22,12,30,2,28,15,45,21,1
44781702,36,21,20,12,4,13,26,13,32,19,13,30,66,75,1
44bfb6c5,68,37,23,41,4,24,87,63,39,5,34,41,109,49,3
450ab6fc,15,7,9,5,1,4,12,8,38,28,10,22,37,121,1
45685411,0,0,0,0,0,0,1,1,3,0,3,1,1,0,0
45963054,6,5,0,4,2,1,7,6,9,0,9,1,7,17,0
4596da74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45db685d,64,33,27,31,6,29,83,54,27,4,23,36,100,21,1
4654e5f5,5,2,1,4,0,3,3,0,1,1,0,2,7,6,0
466fb2c5,2,1,2,0,0,1,2,1,0,0,0,0,2,26,3
471f16b3,42,22,18,20,4,17,59,42,29,7,22,34,76,54,0
47369df8,73,37,25,42,6,21,53,32,37,12,25,68,141,42,1
47a34c4f,16,8,10,5,1,7,12,5,7,1,6,14,30,13,0
4806ec67,1,1,1,0,0,0,1,1,1,0,1,1,2,14,1
48a5a5d6,27,19,7,14,6,10,29,19,26,1,25,20,47,15,0
495945ef,21,12,8,12,1,10,31,21,21,9,12,30,51,16,1
49fe9070,8,4,3,3,2,2,20,18,9,0,9,2,10,4,0
4a1a9578,9,7,3,5,1,2,8,6,7,0,7,4,13,2,0
4ab53cdb,20,12,8,8,4,4,14,10,19,1,18,4,24,12,0
4b40d9ca,0,0,0,0,0,0,2,2,0,0,0,2,2,30,3
4b511457,77,39,25,45,7,28,73,45,39,8,31,51,128,43,0
4bcf39f6,17,10,2,6,9,4,18,14,21,2,19,2,19,2,0
4c370d81,23,14,5,8,10,3,16,13,20,0,20,4,27,3,0
4e9a0555,9,5,1,4,4,4,12,8,18,6,12,2,11,12,0
4f565d77,54,25,24,25,5,24,57,33,37,9,28,24,78,18,0
4f974391,28,18,18,6,4,13,25,12,31,18,13,35,63,66,0
4fb9c88f,11,9,3,6,2,1,10,9,4,0,4,6,17,4,0
507c7bdf,54,28,26,22,6,26,91,65,36,0,36,17,71,42,2
50dc94ce,21,11,12,7,2,7,15,8,11,3,8,8,29,5,0
50e6dc35,8,4,2,5,1,3,18,15,11,3,8,4,12,13,0
51cf8561,20,14,7,10,3,11,20,9,11,3,8,14,34,15,1
5271c8f1,2,2,1,1,0,2,6,4,0,0,0,0,2,0,0
527f063d,4,1,0,3,1,2,8,6,6,0,6,2,6,8,0
529f49ab,43,29,22,17,4,18,44,26,22,4,18,23,66,35,2
531a4aa8,8,6,4,3,1,4,9,5,6,3,3,6,14,19,1
53af52f3,0,0,0,0,0,0,2,2,0,0,0,1,1,15,2
53cad200,51,28,18,27,6,16,35,19,32,9,23,23,74,65,1
5515376c,40,27,22,18,0,24,31,7,16,6,10,19,59,43,2
56f7a928,74,38,23,45,6,42,100,58,47,13,34,21,95,41,3
57c94db2,23,12,19,2,2,14,32,18,14,5,9,16,39,29,0
57df7a11,31,23,19,11,1,14,23,9,9,1,8,9,40,17,0
57e3f0c7,8,5,3,5,0,3,9,6,9,1,8,8,16,2,0
58eee997,15,9,9,1,5,3,9,6,5,0,5,1,16,6,0
59e6e5bf,11,8,1,6,4,3,8,5,5,2,3,3,14,12,0
5a04fd92,28,17,16,9,3,15,38,23,17,1,16,9,37,8,0
5a4280b1,3,2,1,2,0,1,2,1,4,1,3,1,4,20,0
5a7301ae,42,17,25,14,3,22,50,28,37,10,27,9,51,38,1
5aaef9ef,59,39,32,25,2,27,73,46,30,9,21,27,86,46,2
5c74c0f5,39,24,20,14,5,19,40,21,37,8,29,21,60,26,1
5cbd1eb0,104,57,67,26,11,46,67,21,47,5,42,41,145,101,0
5cdddffa,10,7,3,5,2,1,8,7,5,0,5,1,11,1,0
5e105217,4,4,2,2,0,1,3,2,4,0,4,2,6,0,0
5e74d6c8,55,37,35,18,2,36,64,28,26,6,20,44,99,50,0
5eae500a,2,1,0,1,1,1,5,4,11,1,10,0,2,20,0
5ed9b537,16,10,9,6,1,7,10,3,13,9,4,16,32,37,1
5eebbfdf,5,2,1,2,2,2,3,1,0,0,0,0,5,0,0
5eecec3d,5,3,3,2,0,2,3,1,3,3,0,11,16,27,1
60344e4f,2,1,0,1,1,1,2,1,3,0,3,1,3,7,0
6250083a,33,19,14,18,1,15,31,16,19,7,12,12,45,10,1
62d7ef38,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0
6434f10d,72,43,24,38,10,32,59,27,28,5,23,28,100,45,0
653ee42d,4,1,0,3,1,3,8,5,4,1,3,1,5,1,0
6613c819,66,32,27,33,6,28,65,37,34,13,21,52,118,98,1
6622454d,19,10,5,12,2,10,36,26,11,1,10,10,29,10,0
66b76d44,38,18,16,13,9,21,51,30,21,3,18,9,47,11,0
67ac5bb8,50,30,36,12,2,30,41,11,34,26,8,13,63,112,4
67ca8566,93,55,58,31,4,56,105,49,45,14,31,57,150,63,2
68c720b5,10,4,2,2,6,0,6,6,13,1,12,3,13,6,0
68dc0dac,36,17,14,15,7,11,39,28,23,2,21,12,48,28,0
6a713852,2,1,2,0,0,1,1,0,1,0,1,0,2,11,4
6aa3e78b,25,19,14,7,4,11,22,11,18,3,15,7,32,26,0
6adbc307,19,12,13,5,1,6,16,10,12,7,5,19,38,42,0
6afaebf2,28,16,1,12,15,6,20,14,21,6,15,11,39,20,0
6b47c5db,60,32,32,27,1,22,55,33,36,8,28,42,102,54,1
6b625ac2,1,1,1,0,0,1,1,0,0,0,0,0,1,27,1
6bd603db,1,1,1,0,0,0,2,2,0,0,0,1,2,1,0
6c17e046,16,7,6,7,3,9,16,7,11,1,10,5,21,11,0
6c203af0,76,49,35,37,4,21,37,16,33,3,30,50,126,49,0
6c6a3300,31,19,12,12,7,11,30,19,22,3,19,15,46,23,0
6ca5ec4b,40,19,23,12,5,21,52,31,39,3,36,20,60,25,2
6cc47ae1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6cdd8245,37,20,19,17,1,18,33,15,23,6,17,18,55,19,3
6d5701f2,12,10,12,0,0,10,13,3,13,9,4,11,23,38,1
6dfd8f05,34,22,18,14,2,16,29,13,24,6,18,17,51,42,0
6e7f1353,12,8,7,2,3,3,7,4,13,0,13,10,22,2,1
6f711f67,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
6f7d826d,59,39,30,24,5,21,72,51,30,7,23,34,93,28,1
71b47ab9,13,5,5,5,3,5,27,22,13,1,12,5,18,9,0
71ef519e,22,15,10,10,2,10,27,17,10,2,8,13,35,26,0
7314bba4,15,12,12,3,0,8,14,6,24,18,6,16,31,76,1
74b2cd7e,7,4,5,2,0,3,7,4,5,4,1,11,18,29,0
74e12f1e,20,6,6,11,3,7,20,13,17,4,13,17,37,29,1
758dd7f0,39,29,28,10,1,21,36,15,15,6,9,10,49,32,0
75a72a99,37,20,19,13,5,21,40,19,13,1,12,17,54,39,0
76eca7e2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
774cf58b,64,44,49,15,0,37,55,18,39,19,20,28,92,96,1
77cf6852,37,16,25,11,1,27,36,9,16,10,6,25,62,56,0
77e39b04,28,15,9,13,6,3,19,16,17,1,16,12,40,1,1
77e84962,48,29,14,24,10,10,42,32,22,2,20,26,74,13,2
79300479,49,21,6,24,19,22,61,39,18,1,17,11,60,11,1
7956236f,1,1,1,0,0,1,3,2,0,0,0,0,1,6,1
79c0821a,51,31,14,26,11,17,35,18,19,4,15,7,58,9,1
79c84d1c,36,20,20,11,5,17,44,27,29,2,27,21,57,14,0
7a11550b,10,6,5,2,3,5,9,4,4,1,3,5,15,6,0
7a1f2c08,1,1,0,1,0,1,2,1,1,0,1,1,2,2,0
7a2e46a8,3,1,3,0,0,3,5,2,1,0,1,0,3,28,1
7aa8adfe,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
7aee4dd3,7,5,5,2,0,4,4,0,4,2,2,2,9,8,0
7b4de647,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7b5ab7f2,3,0,1,0,2,1,2,1,2,0,2,0,3,0,0
7ba2eaa9,4,4,2,0,2,0,9,9,0,0,0,6,10,1,0
7ba6d84e,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
7c104bb7,32,14,10,13,9,10,28,18,19,1,18,10,42,4,0
7d2d3329,9,3,4,4,1,3,5,2,0,0,0,12,21,10,0
7e003182,3,1,0,3,0,1,1,0,0,0,0,0,3,0,0
7ed4921e,18,9,11,6,1,10,15,5,24,14,10,7,25,82,1
7f3b388c,46,25,17,23,6,24,70,46,33,10,23,39,85,25,1
7fcc71d8,18,11,10,5,3,4,17,13,8,1,7,10,28,1,0
7fec31a0,2,1,1,1,0,2,6,4,2,0,2,0,2,3,0
810e3c74,9,7,4,3,2,2,6,4,4,0,4,0,9,1,0
819aa8e7,4,2,0,3,1,0,13,13,11,1,10,2,6,5,0
819b3158,23,9,10,12,1,12,31,19,11,1,10,15,38,10,0
82518f62,44,23,18,22,4,21,38,17,25,6,19,9,53,13,0
82927de4,54,28,21,21,12,22,84,62,49,2,47,27,81,16,1
82c215a0,3,3,0,2,1,2,4,2,5,0,5,1,4,0,0
82e34b69,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
8397a50c,23,12,17,3,3,14,22,8,47,30,17,46,69,153,2
839c14e1,38,26,23,9,6,16,25,9,18,7,11,16,54,31,1
83d074ff,65,40,23,30,12,29,68,39,37,7,30,13,78,22,0
8449d35e,61,32,26,27,8,27,53,26,23,7,16,28,89,35,0
849c826a,4,2,2,2,0,2,8,6,4,2,2,0,4,2,0
84c5ceea,5,4,2,3,0,1,1,0,0,0,0,2,7,1,0
862a1c15,47,29,23,17,7,11,44,33,14,1,13,20,67,13,0
867239d3,13,9,5,7,1,6,28,22,11,0,11,13,26,16,0
86dd77d1,15,6,7,7,1,8,17,9,14,4,10,14,29,16,1
86e7deaf,32,21,19,12,1,11,22,11,54,31,23,44,76,100,0
87f12e30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892d5bb1,11,3,5,4,2,5,19,14,15,1,14,6,17,6,0
8996350d,34,21,19,14,1,17,46,29,17,8,9,19,53,43,1
89d10e53,16,10,11,4,1,10,24,14,8,5,3,14,30,11,1
89e4b358,32,15,25,6,1,16,30,14,39,29,10,28,60,132,3
8a3c1dc7,28,20,18,8,2,12,34,22,31,10,21,26,54,76,1
8a7ff278,44,26,30,11,3,30,57,27,24,11,13,32,76,107,1
8aec0537,28,15,15,11,2,12,33,21,34,8,26,18,46,23,0
8b04d6c1,78,45,31,38,9,38,85,47,61,13,48,48,126,54,0
8b788c01,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
8c12f884,3,2,2,1,0,2,3,1,7,0,7,3,6,1,0
8d03ca5a,27,16,19,7,1,13,25,12,11,7,4,8,35,12,1
8d3c902d,52,38,28,22,2,18,39,21,40,14,26,38,90,39,0
8d62d31a,0,0,0,0,0,0,0,0,2,1,1,0,0,7,0
8df7a2fb,26,12,16,7,3,12,19,7,28,22,6,24,50,94,1
8f62b6ee,1,1,1,0,0,1,2,1,0,0,0,1,2,24,3
903b6e8b,2,1,2,0,0,2,4,2,0,0,0,2,4,19,5
90f91999,106,64,35,55,16,54,104,50,53,6,47,35,141,34,0
914ab9a1,11,5,10,1,0,7,10,3,20,16,4,14,25,67,1
9228b07c,3,1,1,1,1,2,5,3,2,1,1,2,5,9,0
92b4758e,24,11,18,6,0,8,19,11,21,11,10,43,67,85,3
92e7e919,15,6,5,7,3,5,23,18,27,6,21,13,28,8,0
9319781b,33,16,15,15,3,21,28,7,16,8,8,22,55,55,0
9328b835,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
935e6b8f,36,20,9,25,2,17,44,27,25,1,24,23,59,14,0
939bc634,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93cf32a8,1,0,0,1,0,0,0,0,2,1,1,2,3,8,0
93feac6e,1,0,0,1,0,0,3,3,8,2,6,2,3,8,0
953c30b0,22,11,6,14,2,10,20,10,7,3,4,10,32,19,0
96593e89,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
9674002f,41,16,10,17,14,10,34,24,18,1,17,13,54,12,0
97220da2,12,5,2,7,3,2,9,7,17,1,16,3,15,11,0
97333cf5,27,19,15,6,6,9,23,14,10,1,9,8,35,15,0
980522ec,13,6,4,5,4,8,17,9,9,1,8,9,22,14,0
984a5a64,57,33,28,21,8,26,38,12,29,8,21,37,94,53,1
989d5705,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
98ea5115,0,0,0,0,0,0,0,0,1,0,1,0,0,10,1
99813635,34,17,14,14,6,12,41,29,16,6,10,16,50,13,1
9a104dee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9a28eba4,8,3,6,0,2,3,7,4,4,1,3,2,10,1,0
9a71e978,10,6,5,5,0,7,12,5,6,0,6,6,16,8,0
9a9c05db,38,24,20,10,8,20,37,17,25,11,14,26,64,68,0
9ae9eaea,42,22,27,14,1,21,37,16,25,4,21,28,70,52,0
9b398aea,64,36,46,15,3,22,44,22,24,2,22,22,86,39,1
9c94165b,21,13,9,9,3,12,21,9,22,11,11,9,30,22,2
9dbb75ca,27,10,8,13,6,7,21,14,12,1,11,5,32,6,0
9deaf2c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e1035f8,2,2,0,1,1,0,3,3,2,0,2,0,2,1,0
9e525177,49,36,25,18,6,14,20,6,24,14,10,34,83,41,2
9f1938ab,53,23,21,27,5,21,54,33,17,1,16,19,72,12,2
9f333379,5,3,3,1,1,2,9,7,3,0,3,1,6,1,0
9f472354,9,5,2,4,3,1,1,0,4,0,4,0,9,2,0
9f7c837d,47,32,29,14,4,24,39,15,41,19,22,15,62,100,2
9f8e9423,28,19,21,6,1,10,22,12,18,9,9,18,46,82,1
9fbbcf39,40,27,28,11,1,19,33,14,41,21,20,58,98,158,2
a0666d3e,29,14,10,16,3,7,16,9,13,7,6,8,37,10,0
a1232f4e,5,4,4,0,1,3,4,1,4,2,2,3,8,11,0
a179d516,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
a1d5bd30,6,5,1,4,1,2,13,11,10,1,9,5,11,5,1
a2081c6b,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
a29b1131,3,2,2,1,0,1,10,9,3,0,3,1,4,8,0
a2b105e0,54,34,18,31,5,24,65,41,18,6,12,9,63,18,0
a3b03921,64,37,30,28,6,29,68,39,37,6,31,21,85,10,1
a3d94a58,62,39,39,21,2,22,34,12,46,21,25,33,95,74,1
a4ac4b8f,25,19,18,7,0,8,15,7,14,6,8,14,39,35,0
a53649b7,9,4,1,4,4,1,4,3,9,2,7,4,13,5,0
a65c844b,21,14,10,7,4,8,18,10,15,5,10,9,30,33,1
a712ca2b,10,8,5,5,0,4,11,7,14,13,1,7,17,44,0
a8a3d139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a8c0acb7,29,18,21,6,2,13,21,8,19,11,8,26,55,74,0
a8c19eb8,37,15,27,8,2,17,27,10,38,25,13,24,61,83,2
a8d4428b,26,14,15,7,4,14,39,25,29,2,27,11,37,18,2
aa54ec6f,5,3,1,3,1,3,6,3,5,4,1,3,8,10,0
aa849a12,57,37,22,22,13,31,76,45,35,1,34,21,78,19,0
aa8e289e,11,7,4,6,1,5,20,15,4,0,4,2,13,1,0
ab070c55,3,2,1,2,0,2,6,4,7,3,4,2,5,33,0
ab13a5aa,1,0,1,0,0,1,1,0,0,0,0,1,2,8,1
ab651565,22,14,9,9,4,7,30,23,21,2,19,8,30,16,0
ac05f970,23,17,5,9,9,7,18,11,19,1,18,3,26,13,0
ac0d576d,1,1,0,0,1,0,2,2,2,0,2,0,1,0,0
ac861941,15,9,6,8,1,7,14,7,37,32,5,27,42,142,1
ad1f61f3,10,4,4,5,1,4,7,3,2,1,1,10,20,10,0
ae4fc6a4,10,6,5,2,3,6,11,5,4,1,3,5,15,1,0
ae59b359,19,13,10,8,1,8,17,9,13,1,12,14,33,18,0
aed3a70f,17,13,2,7,8,2,15,13,25,3,22,12,29,27,0
afed6722,54,28,30,18,6,27,45,18,23,9,14,47,101,50,1
b0b4fd3e,18,17,4,10,4,5,13,8,11,1,10,8,26,7,0
b217ef29,47,34,23,19,5,20,31,11,26,14,12,44,91,93,1
b28bbd58,31,17,15,6,10,15,40,25,28,2,26,14,45,6,1
b2bc3b1f,40,20,14,15,11,10,31,21,28,0,28,5,45,5,0
b2c66859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2d31e83,38,23,24,12,2,13,26,13,36,24,12,44,82,152,0
b2f9c73e,7,1,2,5,0,3,5,2,3,0,3,1,8,2,1
b318a643,6,1,1,2,3,4,14,10,5,0,5,0,6,10,0
b391383a,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
b3af9be1,35,17,19,13,3,21,32,11,22,3,19,24,59,64,2
b400bde0,23,10,3,11,9,10,23,13,12,0,12,12,35,3,0
b561db50,29,14,6,16,7,6,30,24,31,5,26,13,42,26,0
